country,city,cases
Canada,Montreal,148
Canada,Montreal,142
Canada,Montreal,147
Canada,Montreal,160
Canada,Montreal,191
Canada,Montreal,204
Canada,Montreal,208
Canada,Montreal,161
Canada,Montreal,114
Canada,Montreal,131
Canada,Montreal,201
Canada,Montreal,236
Canada,Montreal,229
Canada,Montreal,188
Canada,Montreal,160
Canada,Montreal,140
Canada,Montreal,177
Canada,Montreal,264
Canada,Montreal,250
Canada,Montreal,261
Canada,Montreal,233
Canada,Montreal,209
Canada,Montreal,177
Canada,Montreal,188
Canada,Montreal,206
Canada,Montreal,224
Canada,Montreal,306
Canada,Montreal,273
Canada,Montreal,246
Canada,Montreal,219
Canada,Montreal,242
Canada,Montreal,249
Canada,Montreal,322
Canada,Montreal,270
Canada,Montreal,258
Canada,Montreal,247
Canada,Montreal,212
Canada,Montreal,217
Canada,Montreal,217
Canada,Montreal,248
Canada,Montreal,222
Canada,Montreal,243
Canada,Montreal,206
Canada,Montreal,138
Canada,Montreal,144
Canada,Montreal,190
Canada,Montreal,234
Canada,Montreal,185
Canada,Montreal,144
Canada,Montreal,120
Canada,Montreal,132
Canada,Montreal,133
Canada,Montreal,129
Canada,Montreal,181
Canada,Montreal,161
Canada,Montreal,167
Canada,Montreal,139
Canada,Montreal,92
Canada,Montreal,130
Canada,Montreal,157
Canada,Montreal,144
Canada,Montreal,188
Canada,Montreal,202
Canada,Montreal,137
Canada,Montreal,101
Canada,Montreal,133
Canada,Montreal,135
Canada,Montreal,136
Canada,Montreal,91
Canada,Montreal,119
Canada,Montreal,97
Canada,Montreal,106
Canada,Montreal,104
Canada,Montreal,149
Canada,Montreal,135
Canada,Montreal,173
Canada,Montreal,128
Canada,Montreal,145
Canada,Montreal,149
Canada,Montreal,122
Canada,Montreal,112
Canada,Montreal,175
Canada,Montreal,152
Canada,Montreal,167
Canada,Montreal,203
Canada,Montreal,181
Canada,Montreal,158
Canada,Montreal,237
Canada,Montreal,220
Canada,Montreal,189
Canada,Montreal,207
Canada,Montreal,150
Canada,Montreal,143
Canada,Montreal,162
Canada,Montreal,259
Canada,Montreal,233
Canada,Montreal,193
Canada,Montreal,250
Canada,Montreal,221
Canada,Montreal,188
Canada,Montreal,194
Canada,Montreal,243
Canada,Montreal,273
Canada,Montreal,299
Canada,Montreal,279
Canada,Montreal,224
Canada,Montreal,219
Canada,Montreal,291
Canada,Montreal,355
Canada,Montreal,401
Canada,Montreal,362
Canada,Montreal,373
Canada,Montreal,381
Canada,Montreal,344
Canada,Montreal,359
Canada,Montreal,403
Canada,Montreal,517
Canada,Montreal,577
Canada,Montreal,499
Canada,Montreal,465
Canada,Montreal,430
Canada,Montreal,709
Canada,Montreal,890
Canada,Montreal,983
Canada,Montreal,1148
Canada,Montreal,1118
Canada,Montreal,1589
Canada,Montreal,1452
Canada,Montreal,2115
Canada,Montreal,2508
Canada,Montreal,3241
Canada,Montreal,3171
Canada,Montreal,3297
Canada,Montreal,3074
Canada,Montreal,3147
Canada,Montreal,4011
Canada,Montreal,4617
Canada,Montreal,4488
Canada,Montreal,4232
Canada,Montreal,4140
Canada,Montreal,3838
Canada,Montreal,3979
Canada,Montreal,3555
Canada,Montreal,4318
Canada,Montreal,4401
Canada,Montreal,4016
Canada,Montreal,3816
Canada,Montreal,2725
Canada,Montreal,3491
Canada,Montreal,2733
Canada,Montreal,2199
Canada,Montreal,2099
Canada,Montreal,1935
Canada,Montreal,1596
Canada,Montreal,1419
Canada,Montreal,1201
Canada,Montreal,1002
Canada,Montreal,1312
Canada,Montreal,1194
Canada,Montreal,1017
Canada,Montreal,955
Canada,Montreal,678
Canada,Montreal,539
Canada,Montreal,675
Canada,Montreal,752
Canada,Montreal,756
Canada,Montreal,608
Canada,Montreal,572
Canada,Montreal,514
Canada,Montreal,387
Canada,Montreal,526
Canada,Montreal,665
Canada,Montreal,638
Canada,Montreal,525
Canada,Montreal,433
Canada,Montreal,370
Canada,Montreal,339
Canada,Montreal,511
Canada,Montreal,521
Canada,Montreal,394
Canada,Montreal,409
Canada,Montreal,383
Canada,Montreal,242
Canada,Montreal,257
Canada,Montreal,305
Canada,Montreal,276
Canada,Montreal,283
Canada,Montreal,298
Canada,Montreal,207
Canada,Montreal,198
Canada,Montreal,152
Canada,Montreal,258
Canada,Montreal,213
Canada,Montreal,229
Canada,Montreal,219
Canada,Montreal,165
Canada,Montreal,154
Canada,Montreal,119
Canada,Montreal,188
Canada,Montreal,206
Canada,Montreal,144
Canada,Montreal,157
Canada,Montreal,130
Canada,Montreal,123
Canada,Montreal,122
Canada,Montreal,159
Canada,Montreal,161
Canada,Montreal,162
Canada,Montreal,146
Canada,Montreal,154
Canada,Montreal,107
Canada,Montreal,71
Canada,Montreal,175
Canada,Montreal,167
Canada,Montreal,231
Canada,Montreal,201
Canada,Montreal,154
Canada,Montreal,143
Canada,Montreal,150
Canada,Montreal,230
Canada,Montreal,375
Canada,Montreal,418
Canada,Montreal,387
Canada,Montreal,388
Canada,Montreal,287
Canada,Montreal,311
Canada,Montreal,504
Canada,Montreal,560
Canada,Montreal,649
Canada,Montreal,580
Canada,Montreal,587
Canada,Montreal,444
Canada,Montreal,471
Canada,Montreal,607
Canada,Montreal,709
Canada,Montreal,701
Canada,Montreal,636
Canada,Montreal,560
Canada,Montreal,517
Canada,Montreal,440
Canada,Montreal,527
Canada,Montreal,643
Canada,Montreal,765
Canada,Montreal,602
Canada,Montreal,427
Canada,Montreal,354
Canada,Montreal,252
Canada,Montreal,363
Canada,Montreal,492
Canada,Montreal,572
Canada,Montreal,442
Canada,Montreal,462
Canada,Montreal,347
Canada,Montreal,300
Canada,Montreal,347
Canada,Montreal,428
Canada,Montreal,381
Canada,Montreal,401
Canada,Montreal,328
Canada,Montreal,203
Canada,Montreal,203
Canada,Montreal,332
Canada,Montreal,329
Canada,Montreal,280
Canada,Montreal,280
Canada,Montreal,205
Canada,Montreal,166
Canada,Montreal,164
Canada,Montreal,196
Canada,Montreal,240
Canada,Montreal,251
Canada,Montreal,185
Canada,Montreal,175
Canada,Montreal,177
Canada,Montreal,137
Canada,Montreal,177
Canada,Montreal,149
Canada,Montreal,131
Canada,Montreal,115
Canada,Montreal,122
Canada,Montreal,97
Canada,Montreal,94
Canada,Montreal,111
Canada,Montreal,144
Canada,Montreal,160
Canada,Montreal,139
Canada,Montreal,107
Canada,Montreal,114
Canada,Montreal,105
Canada,Montreal,155
Canada,Montreal,172
Canada,Montreal,221
Canada,Montreal,130
Canada,Montreal,141
Canada,Montreal,113
Canada,Montreal,88
Canada,Montreal,183
Canada,Montreal,186
Canada,Montreal,211
Canada,Montreal,215
Canada,Montreal,150
Canada,Montreal,133
Canada,Montreal,97
Canada,Montreal,164
Canada,Montreal,184
Canada,Montreal,198
Canada,Montreal,181
Canada,Montreal,196
Canada,Montreal,134
Canada,Montreal,148
Canada,Montreal,228
Canada,Montreal,265
Canada,Montreal,324
Canada,Montreal,272
Canada,Montreal,215
Canada,Montreal,210
Canada,Montreal,208
Canada,Montreal,307
Canada,Montreal,359
Canada,Montreal,409
Canada,Montreal,380
Canada,Montreal,272
Canada,Montreal,252
Canada,Montreal,237
Canada,Montreal,549
Canada,Montreal,438
Canada,Montreal,479
Canada,Montreal,387
Canada,Montreal,384
Canada,Montreal,287
Canada,Montreal,264
Canada,Montreal,466
Canada,Montreal,502
Canada,Montreal,514
Canada,Montreal,392
Canada,Montreal,390
Canada,Montreal,321
Canada,Montreal,241
Canada,Montreal,427
Canada,Montreal,531
Canada,Montreal,416
Canada,Montreal,429
Canada,Montreal,316
Canada,Montreal,299
Canada,Montreal,249
Canada,Montreal,347
Canada,Montreal,362
Canada,Montreal,310
Canada,Montreal,324
Canada,Montreal,284
Canada,Montreal,192
Canada,Montreal,206
Canada,Montreal,268
Canada,Montreal,325
