date,city,cases,country
2020-08-31,Winnipeg,11,Canada
2020-09-01,Winnipeg,4,Canada
2020-09-02,Winnipeg,13,Canada
2020-09-03,Winnipeg,6,Canada
2020-09-04,Winnipeg,19,Canada
2020-09-05,Winnipeg,8,Canada
2020-09-06,Winnipeg,8,Canada
2020-09-07,Winnipeg,7,Canada
2020-09-08,Winnipeg,14,Canada
2020-09-09,Winnipeg,9,Canada
2020-09-10,Winnipeg,8,Canada
2020-09-11,Winnipeg,8,Canada
2020-09-12,Winnipeg,12,Canada
2020-09-13,Winnipeg,14,Canada
2020-09-14,Winnipeg,13,Canada
2020-09-15,Winnipeg,21,Canada
2020-09-16,Winnipeg,8,Canada
2020-09-17,Winnipeg,29,Canada
2020-09-18,Winnipeg,13,Canada
2020-09-19,Winnipeg,23,Canada
2020-09-20,Winnipeg,17,Canada
2020-09-21,Winnipeg,20,Canada
2020-09-22,Winnipeg,31,Canada
2020-09-23,Winnipeg,33,Canada
2020-09-24,Winnipeg,52,Canada
2020-09-25,Winnipeg,56,Canada
2020-09-26,Winnipeg,29,Canada
2020-09-27,Winnipeg,26,Canada
2020-09-28,Winnipeg,26,Canada
2020-09-29,Winnipeg,31,Canada
2020-09-30,Winnipeg,25,Canada
2020-10-01,Winnipeg,30,Canada
2020-10-02,Winnipeg,36,Canada
2020-10-03,Winnipeg,32,Canada
2020-10-04,Winnipeg,22,Canada
2020-10-05,Winnipeg,32,Canada
2020-10-06,Winnipeg,33,Canada
2020-10-07,Winnipeg,46,Canada
2020-10-08,Winnipeg,74,Canada
2020-10-09,Winnipeg,68,Canada
2020-10-10,Winnipeg,103,Canada
2020-10-11,Winnipeg,74,Canada
2020-10-12,Winnipeg,43,Canada
2020-10-13,Winnipeg,108,Canada
2020-10-14,Winnipeg,121,Canada
2020-10-15,Winnipeg,65,Canada
2020-10-16,Winnipeg,73,Canada
2020-10-17,Winnipeg,20,Canada
2020-10-18,Winnipeg,44,Canada
2020-10-19,Winnipeg,110,Canada
2020-10-20,Winnipeg,119,Canada
2020-10-21,Winnipeg,106,Canada
2020-10-22,Winnipeg,127,Canada
2020-10-23,Winnipeg,107,Canada
2020-10-24,Winnipeg,122,Canada
2020-10-25,Winnipeg,91,Canada
2020-10-26,Winnipeg,143,Canada
2020-10-27,Winnipeg,136,Canada
