date,cases,city,country
2020-12-11,543,Bern,Switzerland
2020-12-12,348,Bern,Switzerland
2020-12-13,259,Bern,Switzerland
2020-12-14,696,Bern,Switzerland
2020-12-15,607,Bern,Switzerland
2020-12-16,566,Bern,Switzerland
2020-12-17,539,Bern,Switzerland
2020-12-18,495,Bern,Switzerland
2020-12-19,339,Bern,Switzerland
2020-12-20,235,Bern,Switzerland
2020-12-21,617,Bern,Switzerland
2020-12-22,523,Bern,Switzerland
2020-12-23,510,Bern,Switzerland
2020-12-24,325,Bern,Switzerland
2020-12-25,240,Bern,Switzerland
2020-12-26,256,Bern,Switzerland
2020-12-27,244,Bern,Switzerland
2020-12-28,557,Bern,Switzerland
2020-12-29,477,Bern,Switzerland
2020-12-30,455,Bern,Switzerland
2020-12-31,328,Bern,Switzerland
2021-01-01,168,Bern,Switzerland
2021-01-02,301,Bern,Switzerland
2021-01-03,232,Bern,Switzerland
2021-01-04,543,Bern,Switzerland
2021-01-05,419,Bern,Switzerland
2021-01-06,315,Bern,Switzerland
2021-01-07,369,Bern,Switzerland
2021-01-08,303,Bern,Switzerland
2021-01-09,211,Bern,Switzerland
2021-01-10,147,Bern,Switzerland
2021-01-11,320,Bern,Switzerland
2021-01-12,256,Bern,Switzerland
2021-01-13,272,Bern,Switzerland
2021-01-14,238,Bern,Switzerland
2021-01-15,223,Bern,Switzerland
2021-01-16,120,Bern,Switzerland
2021-01-17,106,Bern,Switzerland
2021-01-18,277,Bern,Switzerland
2021-01-19,222,Bern,Switzerland
2021-01-20,189,Bern,Switzerland
2021-01-21,211,Bern,Switzerland
2021-01-22,193,Bern,Switzerland
2021-01-23,87,Bern,Switzerland
2021-01-24,85,Bern,Switzerland
2021-01-25,243,Bern,Switzerland
2021-01-26,176,Bern,Switzerland
2021-01-27,192,Bern,Switzerland
2021-01-28,168,Bern,Switzerland
2021-01-29,147,Bern,Switzerland
2021-01-30,82,Bern,Switzerland
2021-01-31,83,Bern,Switzerland
2021-02-01,234,Bern,Switzerland
2021-02-02,137,Bern,Switzerland
2021-02-03,124,Bern,Switzerland
2021-02-04,117,Bern,Switzerland
2021-02-05,129,Bern,Switzerland
2021-02-06,85,Bern,Switzerland
2021-02-07,55,Bern,Switzerland
2021-02-08,185,Bern,Switzerland
2021-02-09,117,Bern,Switzerland
2021-02-10,107,Bern,Switzerland
2021-02-11,126,Bern,Switzerland
2021-02-12,102,Bern,Switzerland
2021-02-13,59,Bern,Switzerland
2021-02-14,48,Bern,Switzerland
2021-02-15,119,Bern,Switzerland
2021-02-16,85,Bern,Switzerland
2021-02-17,101,Bern,Switzerland
2021-02-18,85,Bern,Switzerland
2021-02-19,73,Bern,Switzerland
2021-02-20,49,Bern,Switzerland
2021-02-21,42,Bern,Switzerland
2021-02-22,112,Bern,Switzerland
2021-02-23,115,Bern,Switzerland
2021-02-24,106,Bern,Switzerland
2021-02-25,100,Bern,Switzerland
2021-02-26,113,Bern,Switzerland
2021-02-27,75,Bern,Switzerland
2021-02-28,29,Bern,Switzerland
2021-03-01,113,Bern,Switzerland
2021-03-02,108,Bern,Switzerland
2021-03-03,105,Bern,Switzerland
2021-03-04,95,Bern,Switzerland
2021-03-05,91,Bern,Switzerland
2021-03-06,50,Bern,Switzerland
2021-03-07,41,Bern,Switzerland
2021-03-08,123,Bern,Switzerland
2021-03-09,91,Bern,Switzerland
2021-03-10,108,Bern,Switzerland
2021-03-11,104,Bern,Switzerland
2021-03-12,100,Bern,Switzerland
2021-03-13,63,Bern,Switzerland
2021-03-14,53,Bern,Switzerland
2021-03-15,147,Bern,Switzerland
2021-03-16,112,Bern,Switzerland
2021-03-17,150,Bern,Switzerland
2021-03-18,129,Bern,Switzerland
2021-03-19,99,Bern,Switzerland
2021-03-20,82,Bern,Switzerland
2021-03-21,40,Bern,Switzerland
2021-03-22,191,Bern,Switzerland
2021-03-23,177,Bern,Switzerland
2021-03-24,172,Bern,Switzerland
2021-03-25,168,Bern,Switzerland
2021-03-26,176,Bern,Switzerland
2021-03-27,92,Bern,Switzerland
2021-03-28,76,Bern,Switzerland
2021-03-29,225,Bern,Switzerland
2021-03-30,201,Bern,Switzerland
2021-03-31,187,Bern,Switzerland
2021-04-01,172,Bern,Switzerland
2021-04-02,80,Bern,Switzerland
2021-04-03,113,Bern,Switzerland
2021-04-04,69,Bern,Switzerland
2021-04-05,118,Bern,Switzerland
2021-04-06,241,Bern,Switzerland
2021-04-07,214,Bern,Switzerland
2021-04-08,230,Bern,Switzerland
2021-04-09,222,Bern,Switzerland
2021-04-10,153,Bern,Switzerland
2021-04-11,93,Bern,Switzerland
2021-04-12,213,Bern,Switzerland
2021-04-13,217,Bern,Switzerland
2021-04-14,202,Bern,Switzerland
2021-04-15,167,Bern,Switzerland
2021-04-16,183,Bern,Switzerland
