city,date,cases,country
Berlin,2020-10-17,392,Germany
Berlin,2020-10-18,417,Germany
Berlin,2020-10-19,837,Germany
Berlin,2020-10-20,964,Germany
Berlin,2020-10-21,841,Germany
Berlin,2020-10-22,891,Germany
Berlin,2020-10-23,931,Germany
Berlin,2020-10-24,547,Germany
Berlin,2020-10-25,585,Germany
Berlin,2020-10-26,1157,Germany
Berlin,2020-10-27,1118,Germany
Berlin,2020-10-28,1244,Germany
Berlin,2020-10-29,1017,Germany
Berlin,2020-10-30,1188,Germany
Berlin,2020-10-31,626,Germany
Berlin,2020-11-01,726,Germany
Berlin,2020-11-02,1444,Germany
Berlin,2020-11-03,1309,Germany
Berlin,2020-11-04,1205,Germany
Berlin,2020-11-05,1143,Germany
Berlin,2020-11-06,1092,Germany
Berlin,2020-11-07,682,Germany
Berlin,2020-11-08,562,Germany
Berlin,2020-11-09,1377,Germany
Berlin,2020-11-10,1272,Germany
Berlin,2020-11-11,1546,Germany
Berlin,2020-11-12,1394,Germany
Berlin,2020-11-13,1362,Germany
Berlin,2020-11-14,712,Germany
Berlin,2020-11-15,682,Germany
Berlin,2020-11-16,1456,Germany
Berlin,2020-11-17,1444,Germany
Berlin,2020-11-18,1172,Germany
Berlin,2020-11-19,1263,Germany
Berlin,2020-11-20,1261,Germany
Berlin,2020-11-21,591,Germany
Berlin,2020-11-22,502,Germany
Berlin,2020-11-23,1335,Germany
Berlin,2020-11-24,1309,Germany
Berlin,2020-11-25,1086,Germany
Berlin,2020-11-26,1106,Germany
Berlin,2020-11-27,1169,Germany
Berlin,2020-11-28,705,Germany
Berlin,2020-11-29,492,Germany
Berlin,2020-11-30,1144,Germany
Berlin,2020-12-01,1121,Germany
Berlin,2020-12-02,1092,Germany
Berlin,2020-12-03,1357,Germany
Berlin,2020-12-04,1371,Germany
Berlin,2020-12-05,739,Germany
Berlin,2020-12-06,674,Germany
Berlin,2020-12-07,1365,Germany
Berlin,2020-12-08,1214,Germany
Berlin,2020-12-09,1266,Germany
Berlin,2020-12-10,1329,Germany
Berlin,2020-12-11,1341,Germany
Berlin,2020-12-12,844,Germany
Berlin,2020-12-13,638,Germany
Berlin,2020-12-14,1394,Germany
Berlin,2020-12-15,1179,Germany
Berlin,2020-12-16,1400,Germany
Berlin,2020-12-17,1410,Germany
Berlin,2020-12-18,1336,Germany
Berlin,2020-12-19,670,Germany
Berlin,2020-12-20,619,Germany
Berlin,2020-12-21,1348,Germany
Berlin,2020-12-22,1173,Germany
Berlin,2020-12-23,1264,Germany
Berlin,2020-12-24,785,Germany
Berlin,2020-12-25,493,Germany
Berlin,2020-12-26,858,Germany
Berlin,2020-12-27,706,Germany
Berlin,2020-12-28,1244,Germany
Berlin,2020-12-29,980,Germany
Berlin,2020-12-30,944,Germany
Berlin,2020-12-31,577,Germany
Berlin,2021-01-01,595,Germany
Berlin,2021-01-02,688,Germany
Berlin,2021-01-03,688,Germany
Berlin,2021-01-04,1006,Germany
Berlin,2021-01-05,981,Germany
Berlin,2021-01-06,1009,Germany
Berlin,2021-01-07,991,Germany
Berlin,2021-01-08,986,Germany
Berlin,2021-01-09,555,Germany
Berlin,2021-01-10,462,Germany
Berlin,2021-01-11,1071,Germany
Berlin,2021-01-12,884,Germany
Berlin,2021-01-13,820,Germany
Berlin,2021-01-14,789,Germany
Berlin,2021-01-15,729,Germany
Berlin,2021-01-16,445,Germany
Berlin,2021-01-17,361,Germany
Berlin,2021-01-18,624,Germany
Berlin,2021-01-19,691,Germany
Berlin,2021-01-20,620,Germany
Berlin,2021-01-21,524,Germany
Berlin,2021-01-22,569,Germany
Berlin,2021-01-23,347,Germany
Berlin,2021-01-24,250,Germany
Berlin,2021-01-25,584,Germany
Berlin,2021-01-26,520,Germany
Berlin,2021-01-27,437,Germany
Berlin,2021-01-28,428,Germany
Berlin,2021-01-29,429,Germany
Berlin,2021-01-30,293,Germany
Berlin,2021-01-31,232,Germany
Berlin,2021-02-01,511,Germany
Berlin,2021-02-02,428,Germany
Berlin,2021-02-03,393,Germany
Berlin,2021-02-04,349,Germany
Berlin,2021-02-05,362,Germany
Berlin,2021-02-06,275,Germany
Berlin,2021-02-07,207,Germany
Berlin,2021-02-08,395,Germany
Berlin,2021-02-09,306,Germany
Berlin,2021-02-10,309,Germany
Berlin,2021-02-11,307,Germany
Berlin,2021-02-12,348,Germany
Berlin,2021-02-13,229,Germany
Berlin,2021-02-14,191,Germany
Berlin,2021-02-15,367,Germany
Berlin,2021-02-16,332,Germany
Berlin,2021-02-17,414,Germany
Berlin,2021-02-18,375,Germany
Berlin,2021-02-19,416,Germany
Berlin,2021-02-20,326,Germany
Berlin,2021-02-21,191,Germany
Berlin,2021-02-22,404,Germany
Berlin,2021-02-23,442,Germany
Berlin,2021-02-24,398,Germany
