date,city,cases,country
2020-08-13,San Martin,164,Peru
2020-08-14,San Martin,157,Peru
2020-08-15,San Martin,128,Peru
2020-08-16,San Martin,50,Peru
2020-08-17,San Martin,224,Peru
2020-08-18,San Martin,186,Peru
2020-08-19,San Martin,180,Peru
2020-08-20,San Martin,194,Peru
2020-08-21,San Martin,134,Peru
2020-08-22,San Martin,127,Peru
2020-08-23,San Martin,42,Peru
2020-08-24,San Martin,211,Peru
2020-08-25,San Martin,325,Peru
2020-08-26,San Martin,168,Peru
2020-08-27,San Martin,148,Peru
2020-08-28,San Martin,230,Peru
2020-08-29,San Martin,94,Peru
2020-08-30,San Martin,38,Peru
2020-08-31,San Martin,117,Peru
2020-09-01,San Martin,145,Peru
2020-09-02,San Martin,180,Peru
2020-09-03,San Martin,120,Peru
2020-09-04,San Martin,210,Peru
2020-09-05,San Martin,99,Peru
2020-09-06,San Martin,31,Peru
2020-09-07,San Martin,125,Peru
2020-09-08,San Martin,202,Peru
2020-09-09,San Martin,154,Peru
2020-09-10,San Martin,234,Peru
2020-09-11,San Martin,272,Peru
2020-09-12,San Martin,128,Peru
2020-09-13,San Martin,41,Peru
2020-09-14,San Martin,219,Peru
2020-09-15,San Martin,129,Peru
2020-09-16,San Martin,149,Peru
2020-09-17,San Martin,146,Peru
2020-09-18,San Martin,158,Peru
2020-09-19,San Martin,117,Peru
2020-09-20,San Martin,25,Peru
2020-09-21,San Martin,152,Peru
2020-09-22,San Martin,151,Peru
2020-09-23,San Martin,157,Peru
2020-09-24,San Martin,148,Peru
2020-09-25,San Martin,140,Peru
2020-09-26,San Martin,126,Peru
2020-09-27,San Martin,54,Peru
2020-09-28,San Martin,74,Peru
2020-09-29,San Martin,72,Peru
2020-09-30,San Martin,69,Peru
2020-10-01,San Martin,86,Peru
2020-10-02,San Martin,90,Peru
2020-10-03,San Martin,86,Peru
2020-10-04,San Martin,31,Peru
2020-10-05,San Martin,116,Peru
2020-10-06,San Martin,175,Peru
2020-10-07,San Martin,171,Peru
2020-10-08,San Martin,118,Peru
2020-10-09,San Martin,159,Peru
2020-10-10,San Martin,109,Peru
2020-10-11,San Martin,67,Peru
2020-10-12,San Martin,149,Peru
2020-10-13,San Martin,200,Peru
2020-10-14,San Martin,189,Peru
2020-10-15,San Martin,207,Peru
2020-10-16,San Martin,136,Peru
2020-10-17,San Martin,78,Peru
2020-10-18,San Martin,32,Peru
2020-10-19,San Martin,102,Peru
2020-10-20,San Martin,99,Peru
2020-10-21,San Martin,143,Peru
2020-10-22,San Martin,75,Peru
2020-10-23,San Martin,111,Peru
2020-10-24,San Martin,75,Peru
2020-10-25,San Martin,40,Peru
2020-10-26,San Martin,118,Peru
2020-10-27,San Martin,120,Peru
2020-10-28,San Martin,102,Peru
2020-10-29,San Martin,182,Peru
2020-10-30,San Martin,122,Peru
2020-10-31,San Martin,98,Peru
2020-11-01,San Martin,78,Peru
2020-11-02,San Martin,124,Peru
2020-11-03,San Martin,68,Peru
2020-11-04,San Martin,99,Peru
2020-11-05,San Martin,97,Peru
2020-11-07,San Martin,104,Peru
2020-11-08,San Martin,42,Peru
2020-11-09,San Martin,67,Peru
2020-11-10,San Martin,91,Peru
2020-11-11,San Martin,66,Peru
2020-11-12,San Martin,103,Peru
2020-11-13,San Martin,108,Peru
2020-11-14,San Martin,42,Peru
2020-11-15,San Martin,30,Peru
2020-11-16,San Martin,77,Peru
2020-11-17,San Martin,82,Peru
2020-11-18,San Martin,50,Peru
