"date,""mcccityname1"",""cases"""
"2021-08-30,""Barnsley"",126"
"2021-08-29,""Barnsley"",131"
"2021-08-28,""Barnsley"",134"
"2021-08-27,""Barnsley"",146"
"2021-08-26,""Barnsley"",134"
"2021-08-25,""Barnsley"",150"
"2021-08-24,""Barnsley"",124"
"2021-08-23,""Barnsley"",141"
"2021-08-22,""Barnsley"",144"
"2021-08-21,""Barnsley"",98"
"2021-08-20,""Barnsley"",96"
"2021-08-19,""Barnsley"",117"
"2021-08-18,""Barnsley"",129"
"2021-08-17,""Barnsley"",94"
"2021-08-16,""Barnsley"",117"
"2021-08-15,""Barnsley"",141"
"2021-08-14,""Barnsley"",110"
"2021-08-13,""Barnsley"",123"
"2021-08-12,""Barnsley"",139"
"2021-08-11,""Barnsley"",129"
"2021-08-10,""Barnsley"",125"
"2021-08-09,""Barnsley"",84"
"2021-08-08,""Barnsley"",130"
"2021-08-07,""Barnsley"",129"
"2021-08-06,""Barnsley"",149"
"2021-08-05,""Barnsley"",120"
"2021-08-04,""Barnsley"",130"
"2021-08-03,""Barnsley"",93"
"2021-08-02,""Barnsley"",110"
"2021-08-01,""Barnsley"",106"
"2021-07-31,""Barnsley"",103"
"2021-07-30,""Barnsley"",122"
"2021-07-29,""Barnsley"",123"
"2021-07-28,""Barnsley"",144"
"2021-07-27,""Barnsley"",93"
"2021-07-26,""Barnsley"",134"
"2021-07-25,""Barnsley"",125"
"2021-07-24,""Barnsley"",191"
"2021-07-23,""Barnsley"",206"
"2021-07-22,""Barnsley"",208"
"2021-07-21,""Barnsley"",248"
"2021-07-20,""Barnsley"",210"
"2021-07-19,""Barnsley"",218"
"2021-07-18,""Barnsley"",266"
"2021-07-17,""Barnsley"",348"
"2021-07-16,""Barnsley"",306"
"2021-07-15,""Barnsley"",334"
"2021-07-14,""Barnsley"",268"
"2021-07-13,""Barnsley"",234"
"2021-07-12,""Barnsley"",287"
"2021-07-11,""Barnsley"",182"
"2021-07-10,""Barnsley"",238"
"2021-07-09,""Barnsley"",295"
"2021-07-08,""Barnsley"",282"
"2021-07-07,""Barnsley"",266"
"2021-07-06,""Barnsley"",216"
"2021-07-05,""Barnsley"",226"
"2021-07-04,""Barnsley"",181"
"2021-07-03,""Barnsley"",185"
"2021-07-02,""Barnsley"",200"
"2021-07-01,""Barnsley"",182"
"2021-06-30,""Barnsley"",157"
"2021-06-29,""Barnsley"",152"
"2021-06-28,""Barnsley"",126"
"2021-06-27,""Barnsley"",94"
"2021-06-26,""Barnsley"",100"
"2021-06-25,""Barnsley"",78"
"2021-06-24,""Barnsley"",96"
"2021-06-23,""Barnsley"",76"
"2021-06-22,""Barnsley"",48"
"2021-06-21,""Barnsley"",43"
"2021-06-20,""Barnsley"",30"
"2021-06-19,""Barnsley"",36"
"2021-06-18,""Barnsley"",24"
"2021-06-17,""Barnsley"",22"
"2021-06-16,""Barnsley"",21"
"2021-06-15,""Barnsley"",28"
"2021-06-14,""Barnsley"",23"
"2021-06-13,""Barnsley"",24"
"2021-06-12,""Barnsley"",25"
"2021-06-11,""Barnsley"",28"
"2021-06-10,""Barnsley"",18"
"2021-06-09,""Barnsley"",33"
"2021-06-08,""Barnsley"",19"
"2021-06-07,""Barnsley"",21"
"2021-06-06,""Barnsley"",13"
"2021-06-05,""Barnsley"",17"
"2021-06-04,""Barnsley"",23"
"2021-06-03,""Barnsley"",20"
"2021-06-02,""Barnsley"",19"
"2021-06-01,""Barnsley"",10"
"2021-05-31,""Barnsley"",4"
"2021-05-30,""Barnsley"",12"
"2021-05-29,""Barnsley"",8"
"2021-05-28,""Barnsley"",13"
"2021-05-27,""Barnsley"",13"
"2021-05-26,""Barnsley"",11"
"2021-05-25,""Barnsley"",10"
"2021-05-24,""Barnsley"",7"
"2021-05-23,""Barnsley"",6"
"2021-05-22,""Barnsley"",7"
"2021-05-21,""Barnsley"",10"
"2021-05-20,""Barnsley"",13"
"2021-05-19,""Barnsley"",19"
"2021-05-18,""Barnsley"",0"
"2021-05-17,""Barnsley"",7"
"2021-05-16,""Barnsley"",12"
"2021-05-15,""Barnsley"",14"
"2021-05-14,""Barnsley"",15"
"2021-05-13,""Barnsley"",5"
"2021-05-12,""Barnsley"",13"
"2021-05-11,""Barnsley"",15"
"2021-05-10,""Barnsley"",15"
"2021-05-09,""Barnsley"",14"
"2021-05-08,""Barnsley"",9"
