"date,""mcccityname1"",""cases"""
"2020-04-22,""Salvador"",112"
"2020-04-22,""Sao Luis"",0"
"2020-04-22,""Sao Paulo"",349"
"2020-04-22,""Teresina"",6"
"2020-04-22,""Vitoria"",1"
"2020-04-23,""Belo Horizonte"",4"
"2020-04-23,""Belem"",28"
"2020-04-23,""Curitiba"",6"
"2020-04-23,""Cuiaba"",9"
"2020-04-23,""Fortaleza"",488"
"2020-04-23,""Goiania"",0"
"2020-04-23,""Joao Pessoa"",24"
"2020-04-23,""Maceio"",75"
"2020-04-23,""Manaus"",328"
"2020-04-23,""Natal"",24"
"2020-04-23,""Porto Alegre"",12"
"2020-04-23,""Recife"",158"
"2020-04-23,""Salvador"",98"
"2020-04-23,""Sao Luis"",0"
"2020-04-23,""Sao Paulo"",534"
"2020-04-23,""Teresina"",23"
"2020-04-23,""Vitoria"",21"
"2020-04-24,""Belo Horizonte"",28"
"2020-04-24,""Belem"",177"
"2020-04-24,""Curitiba"",11"
"2020-04-24,""Cuiaba"",8"
"2020-04-24,""Fortaleza"",272"
"2020-04-24,""Goiania"",3"
"2020-04-24,""Joao Pessoa"",32"
"2020-04-24,""Maceio"",75"
"2020-04-24,""Manaus"",195"
"2020-04-24,""Natal"",11"
"2020-04-24,""Porto Alegre"",7"
"2020-04-24,""Recife"",-415"
"2020-04-24,""Salvador"",86"
"2020-04-24,""Sao Luis"",0"
"2020-04-24,""Sao Paulo"",575"
"2020-04-24,""Teresina"",25"
"2020-04-24,""Vitoria"",34"
"2020-04-25,""Belo Horizonte"",9"
"2020-04-25,""Belem"",114"
"2020-04-25,""Curitiba"",5"
"2020-04-25,""Cuiaba"",4"
"2020-04-25,""Fortaleza"",478"
"2020-04-25,""Goiania"",0"
"2020-04-25,""Joao Pessoa"",27"
"2020-04-25,""Maceio"",72"
"2020-04-25,""Manaus"",197"
"2020-04-25,""Natal"",27"
"2020-04-25,""Porto Alegre"",5"
"2020-04-25,""Recife"",129"
"2020-04-25,""Salvador"",85"
"2020-04-25,""Sao Luis"",0"
"2020-04-25,""Sao Paulo"",1298"
