"regionname","date","cases"
"South Australia",2020-02-28,2
"Tasmania",2020-02-28,0
"Victoria",2020-02-28,4
"Western Australia",2020-02-28,0
"Australian Capital Territory",2020-02-29,0
"New South Wales",2020-02-29,4
"Northern Territory",2020-02-29,0
"Queensland",2020-02-29,9
"South Australia",2020-02-29,3
"Tasmania",2020-02-29,0
"Victoria",2020-02-29,7
"Western Australia",2020-02-29,2
"Australian Capital Territory",2020-03-01,0
"New South Wales",2020-03-01,6
"Northern Territory",2020-03-01,0
"Queensland",2020-03-01,9
"South Australia",2020-03-01,3
"Tasmania",2020-03-01,0
"Victoria",2020-03-01,7
"Western Australia",2020-03-01,2
"Australian Capital Territory",2020-03-02,0
"New South Wales",2020-03-02,6
"Northern Territory",2020-03-02,0
"Queensland",2020-03-02,9
"South Australia",2020-03-02,3
"Tasmania",2020-03-02,1
"Victoria",2020-03-02,9
"Western Australia",2020-03-02,2
"Australian Capital Territory",2020-03-03,0
"New South Wales",2020-03-03,13
"Northern Territory",2020-03-03,0
"Queensland",2020-03-03,11
"South Australia",2020-03-03,3
"Tasmania",2020-03-03,1
"Victoria",2020-03-03,9
"Western Australia",2020-03-03,2
"Australian Capital Territory",2020-03-04,0
"New South Wales",2020-03-04,22
"Northern Territory",2020-03-04,1
"Queensland",2020-03-04,11
"South Australia",2020-03-04,5
"Tasmania",2020-03-04,1
"Victoria",2020-03-04,10
"Western Australia",2020-03-04,2
"Australian Capital Territory",2020-03-05,0
"New South Wales",2020-03-05,22
"Northern Territory",2020-03-05,1
"Queensland",2020-03-05,13
"South Australia",2020-03-05,5
"Tasmania",2020-03-05,1
"Victoria",2020-03-05,10
"Western Australia",2020-03-05,3
"Australian Capital Territory",2020-03-06,0
"New South Wales",2020-03-06,26
"Northern Territory",2020-03-06,0
"Queensland",2020-03-06,13
"South Australia",2020-03-06,7
"Tasmania",2020-03-06,1
"Victoria",2020-03-06,10
"Western Australia",2020-03-06,3
"Australian Capital Territory",2020-03-07,0
"New South Wales",2020-03-07,28
"Northern Territory",2020-03-07,0
"Queensland",2020-03-07,13
"South Australia",2020-03-07,7
"Tasmania",2020-03-07,1
"Victoria",2020-03-07,11
"Western Australia",2020-03-07,3
"Australian Capital Territory",2020-03-08,0
"New South Wales",2020-03-08,38
"Northern Territory",2020-03-08,0
"Queensland",2020-03-08,15
"South Australia",2020-03-08,7
"Tasmania",2020-03-08,2
"Victoria",2020-03-08,11
"Western Australia",2020-03-08,3
"Australian Capital Territory",2020-03-09,0
"New South Wales",2020-03-09,48
"Northern Territory",2020-03-09,0
"Queensland",2020-03-09,15
"South Australia",2020-03-09,7
"Tasmania",2020-03-09,2
"Victoria",2020-03-09,15
"Western Australia",2020-03-09,4
"Australian Capital Territory",2020-03-10,0
"New South Wales",2020-03-10,55
"Northern Territory",2020-03-10,1
"Queensland",2020-03-10,18
"South Australia",2020-03-10,7
"Tasmania",2020-03-10,2
