"date","regionname","cases"
2021-12-28,"Scotland",9360
2021-12-27,"Scotland",10562
2021-12-26,"Scotland",11030
2021-12-25,"Scotland",8252
2021-12-24,"Scotland",7076
2021-12-23,"Scotland",6215
2021-12-22,"Scotland",5967
2021-12-21,"Scotland",5242
2021-12-20,"Scotland",6734
2021-12-19,"Scotland",5924
2021-12-18,"Scotland",5917
2021-12-17,"Scotland",4336
2021-12-16,"Scotland",5951
2021-12-15,"Scotland",5155
2021-12-14,"Scotland",3117
2021-12-13,"Scotland",3756
2021-12-12,"Scotland",4002
2021-12-11,"Scotland",4087
2021-12-10,"Scotland",5018
2021-12-09,"Scotland",3196
2021-12-08,"Scotland",3077
2021-12-07,"Scotland",3060
2021-12-06,"Scotland",3894
2021-12-05,"Scotland",2607
2021-12-04,"Scotland",1257
2021-12-03,"Scotland",2432
2021-12-02,"Scotland",3002
2021-12-01,"Scotland",2796
2021-11-30,"Scotland",2569
2021-11-29,"Scotland",2244
2021-11-28,"Scotland",2177
2021-11-27,"Scotland",2287
2021-11-26,"Scotland",2888
2021-11-25,"Scotland",2932
2021-11-24,"Scotland",3080
2021-11-23,"Scotland",2527
2021-11-22,"Scotland",2481
2021-11-21,"Scotland",2677
2021-11-20,"Scotland",2756
2021-11-19,"Scotland",3090
2021-11-18,"Scotland",3235
2021-11-17,"Scotland",3360
2021-11-16,"Scotland",2771
2021-11-15,"Scotland",2288
2021-11-14,"Scotland",3077
2021-11-13,"Scotland",3052
2021-11-12,"Scotland",3349
2021-11-11,"Scotland",3340
2021-11-10,"Scotland",3852
2021-11-09,"Scotland",2233
2021-11-08,"Scotland",2012
2021-11-07,"Scotland",2908
2021-11-06,"Scotland",3249
2021-11-05,"Scotland",2389
2021-11-04,"Scotland",2823
2021-11-03,"Scotland",3495
2021-11-02,"Scotland",2010
2021-11-01,"Scotland",2065
2021-10-31,"Scotland",2513
2021-10-30,"Scotland",3867
2021-10-29,"Scotland",2732
2021-10-28,"Scotland",2153
2021-10-27,"Scotland",2566
2021-10-26,"Scotland",2262
2021-10-25,"Scotland",2239
2021-10-24,"Scotland",2528
2021-10-23,"Scotland",2403
2021-10-22,"Scotland",2902
2021-10-21,"Scotland",2355
2021-10-20,"Scotland",2768
2021-10-19,"Scotland",2459
2021-10-18,"Scotland",2194
2021-10-17,"Scotland",2666
2021-10-16,"Scotland",2581
2021-10-15,"Scotland",2762
2021-10-14,"Scotland",2639
2021-10-13,"Scotland",2581
2021-10-12,"Scotland",1908
2021-10-11,"Scotland",2297
2021-10-10,"Scotland",2363
2021-10-09,"Scotland",2417
2021-10-08,"Scotland",2627
2021-10-07,"Scotland",2691
2021-10-06,"Scotland",3055
2021-10-05,"Scotland",2056
2021-10-04,"Scotland",1760
2021-10-03,"Scotland",2040
2021-10-02,"Scotland",2515
2021-10-01,"Scotland",2693
2021-09-30,"Scotland",2911
2021-09-29,"Scotland",2997
2021-09-28,"Scotland",2370
2021-09-27,"Scotland",2069
2021-09-26,"Scotland",2556
2021-09-25,"Scotland",3261
2021-09-24,"Scotland",3667
2021-09-23,"Scotland",4024
2021-09-22,"Scotland",3598
2021-09-21,"Scotland",2870
2021-09-20,"Scotland",2917
2021-09-19,"Scotland",3833
2021-09-18,"Scotland",6116
2021-09-17,"Scotland",5529
2021-09-16,"Scotland",0
2021-09-15,"Scotland",4917
2021-09-14,"Scotland",3375
2021-09-13,"Scotland",4241
2021-09-12,"Scotland",5912
2021-09-11,"Scotland",4298
2021-09-10,"Scotland",6815
2021-09-09,"Scotland",6836
2021-09-08,"Scotland",5810
2021-09-07,"Scotland",5692
2021-09-06,"Scotland",7065
2021-09-05,"Scotland",6368
2021-09-04,"Scotland",6152
2021-09-03,"Scotland",6711
2021-09-02,"Scotland",6400
2021-09-01,"Scotland",6170
2021-08-31,"Scotland",6029
2021-08-30,"Scotland",3893
2021-08-29,"Scotland",7113
2021-08-28,"Scotland",5858
2021-08-27,"Scotland",6835
2021-08-26,"Scotland",4925
2021-08-25,"Scotland",5021
2021-08-24,"Scotland",4323
2021-08-23,"Scotland",3189
2021-08-22,"Scotland",3190
2021-08-21,"Scotland",3464
2021-08-20,"Scotland",3613
2021-08-19,"Scotland",3367
2021-08-18,"Scotland",2538
2021-08-17,"Scotland",1815
2021-08-16,"Scotland",1567
2021-08-15,"Scotland",1498
2021-08-14,"Scotland",1383
2021-08-13,"Scotland",1542
2021-08-12,"Scotland",1525
2021-08-11,"Scotland",1498
2021-08-10,"Scotland",1032
2021-08-09,"Scotland",851
2021-08-08,"Scotland",1240
2021-08-07,"Scotland",1386
2021-08-06,"Scotland",1250
2021-08-05,"Scotland",1381
2021-08-04,"Scotland",1271
2021-08-03,"Scotland",1016
2021-08-02,"Scotland",799
2021-08-01,"Scotland",1034
2021-07-31,"Scotland",1018
2021-07-30,"Scotland",1456
2021-07-29,"Scotland",1398
2021-07-28,"Scotland",1179
2021-07-27,"Scotland",1044
2021-07-26,"Scotland",1000
2021-07-25,"Scotland",1237
2021-07-24,"Scotland",1307
2021-07-23,"Scotland",1505
2021-07-22,"Scotland",1825
2021-07-21,"Scotland",1686
2021-07-20,"Scotland",1604
2021-07-19,"Scotland",1464
2021-07-18,"Scotland",1735
2021-07-17,"Scotland",2317
2021-07-16,"Scotland",2047
2021-07-15,"Scotland",2086
2021-07-14,"Scotland",2636
2021-07-13,"Scotland",2529
2021-07-12,"Scotland",2134
2021-07-11,"Scotland",2048
2021-07-10,"Scotland",2190
2021-07-09,"Scotland",3216
2021-07-08,"Scotland",2802
2021-07-07,"Scotland",3799
2021-07-06,"Scotland",2363
2021-07-05,"Scotland",2372
2021-07-04,"Scotland",2726
2021-07-03,"Scotland",3108
2021-07-02,"Scotland",3823
2021-07-01,"Scotland",4234
2021-06-30,"Scotland",3887
2021-06-29,"Scotland",3118
2021-06-28,"Scotland",3285
2021-06-27,"Scotland",2639
2021-06-26,"Scotland",2836
2021-06-25,"Scotland",1747
2021-06-24,"Scotland",2999
2021-06-23,"Scotland",2969
2021-06-22,"Scotland",2167
2021-06-21,"Scotland",1250
2021-06-20,"Scotland",1205
2021-06-19,"Scotland",1209
2021-06-18,"Scotland",950
2021-06-17,"Scotland",1317
2021-06-16,"Scotland",1129
2021-06-15,"Scotland",974
2021-06-14,"Scotland",761
2021-06-13,"Scotland",1036
2021-06-12,"Scotland",1030
2021-06-11,"Scotland",1104
2021-06-10,"Scotland",735
2021-06-09,"Scotland",1011
2021-06-08,"Scotland",695
2021-06-07,"Scotland",641
2021-06-06,"Scotland",775
2021-06-05,"Scotland",860
2021-06-04,"Scotland",992
2021-06-03,"Scotland",835
2021-06-02,"Scotland",677
2021-06-01,"Scotland",478
2021-05-31,"Scotland",490
2021-05-30,"Scotland",526
2021-05-29,"Scotland",583
2021-05-28,"Scotland",641
2021-05-27,"Scotland",464
2021-05-26,"Scotland",546
2021-05-25,"Scotland",318
2021-05-24,"Scotland",313
2021-05-23,"Scotland",378
2021-05-22,"Scotland",370
2021-05-21,"Scotland",414
2021-05-20,"Scotland",432
2021-05-19,"Scotland",394
2021-05-18,"Scotland",268
2021-05-17,"Scotland",161
2021-05-16,"Scotland",292
2021-05-15,"Scotland",413
2021-05-14,"Scotland",215
2021-05-13,"Scotland",270
2021-05-12,"Scotland",345
2021-05-11,"Scotland",238
2021-05-10,"Scotland",168
2021-05-09,"Scotland",200
