"date","regionname","cases"
2020-06-08,"East Malaysia",2
2020-06-08,"West Malaysia",5
2020-06-09,"East Malaysia",0
2020-06-09,"West Malaysia",7
2020-06-10,"East Malaysia",1
2020-06-10,"West Malaysia",1
2020-06-11,"East Malaysia",0
2020-06-11,"West Malaysia",31
2020-06-12,"East Malaysia",1
2020-06-12,"West Malaysia",32
2020-06-13,"East Malaysia",2
2020-06-13,"West Malaysia",41
2020-06-14,"East Malaysia",1
2020-06-14,"West Malaysia",7
2020-06-15,"East Malaysia",1
2020-06-15,"West Malaysia",40
2020-06-16,"East Malaysia",3
2020-06-16,"West Malaysia",8
2020-06-17,"East Malaysia",3
2020-06-17,"West Malaysia",7
2020-06-18,"East Malaysia",5
2020-06-18,"West Malaysia",9
2020-06-19,"East Malaysia",1
2020-06-19,"West Malaysia",5
2020-06-20,"East Malaysia",1
2020-06-20,"West Malaysia",20
2020-06-21,"East Malaysia",4
2020-06-21,"West Malaysia",12
2020-06-22,"East Malaysia",0
2020-06-22,"West Malaysia",15
2020-06-23,"East Malaysia",2
2020-06-23,"West Malaysia",1
2020-06-24,"East Malaysia",1
2020-06-24,"West Malaysia",5
2020-06-25,"East Malaysia",0
2020-06-25,"West Malaysia",4
2020-06-26,"East Malaysia",0
2020-06-26,"West Malaysia",6
2020-06-27,"East Malaysia",2
2020-06-27,"West Malaysia",8
2020-06-28,"East Malaysia",3
2020-06-28,"West Malaysia",15
2020-06-29,"East Malaysia",1
2020-06-29,"West Malaysia",2
2020-06-30,"East Malaysia",1
2020-06-30,"West Malaysia",1
2020-07-01,"East Malaysia",0
2020-07-01,"West Malaysia",1
2020-07-02,"East Malaysia",1
2020-07-02,"West Malaysia",2
2020-07-03,"East Malaysia",2
2020-07-03,"West Malaysia",3
2020-07-04,"East Malaysia",1
2020-07-04,"West Malaysia",9
2020-07-05,"East Malaysia",2
2020-07-05,"West Malaysia",3
2020-07-06,"East Malaysia",1
2020-07-06,"West Malaysia",4
2020-07-07,"East Malaysia",0
2020-07-07,"West Malaysia",6
2020-07-08,"East Malaysia",1
2020-07-08,"West Malaysia",2
2020-07-09,"East Malaysia",0
2020-07-09,"West Malaysia",6
2020-07-10,"East Malaysia",2
2020-07-10,"West Malaysia",11
2020-07-11,"East Malaysia",3
2020-07-11,"West Malaysia",5
2020-07-12,"East Malaysia",3
2020-07-12,"West Malaysia",11
2020-07-13,"East Malaysia",1
2020-07-13,"West Malaysia",6
2020-07-14,"East Malaysia",0
2020-07-14,"West Malaysia",4
2020-07-15,"East Malaysia",3
2020-07-15,"West Malaysia",2
2020-07-16,"East Malaysia",1
2020-07-16,"West Malaysia",2
2020-07-17,"East Malaysia",11
