"regionname,""date"",""cases"""
Arizona,2020-01-11,3
California,2020-01-11,5
Colorado,2020-01-11,2
Georgia,2020-01-11,2
Iowa,2020-01-11,1
Illinois,2020-01-11,2
Indiana,2020-01-11,1
Kentucky,2020-01-11,1
Massachusetts,2020-01-11,4
Michigan,2020-01-11,3
Missouri,2020-01-11,2
Nebraska,2020-01-11,1
New Jersey,2020-01-11,11
Nevada,2020-01-11,2
New York,2020-01-11,1
Ohio,2020-01-11,5
Oklahoma,2020-01-11,17
Pennsylvania,2020-01-11,2
South Carolina,2020-01-11,1
South Dakota,2020-01-11,1
Tennessee,2020-01-11,1
Texas,2020-01-11,20
Washington,2020-01-11,3
Wisconsin,2020-01-11,2
Alabama,2020-01-12,7
Arizona,2020-01-12,4
California,2020-01-12,3
Colorado,2020-01-12,1
Connecticut,2020-01-12,2
District of Columbia,2020-01-12,1
Florida,2020-01-12,5
Georgia,2020-01-12,3
Guam,2020-01-12,1
Iowa,2020-01-12,4
Indiana,2020-01-12,1
Kansas,2020-01-12,1
Kentucky,2020-01-12,1
Louisiana,2020-01-12,1
Massachusetts,2020-01-12,3
Maryland,2020-01-12,1
Maine,2020-01-12,3
Michigan,2020-01-12,3
Missouri,2020-01-12,3
Mississippi,2020-01-12,1
North Carolina,2020-01-12,2
Nebraska,2020-01-12,2
New Jersey,2020-01-12,9
New Mexico,2020-01-12,2
Nevada,2020-01-12,5
New York,2020-01-12,12
Ohio,2020-01-12,4
Oklahoma,2020-01-12,12
Pennsylvania,2020-01-12,1
PR,2020-01-12,1
South Carolina,2020-01-12,1
Tennessee,2020-01-12,4
Texas,2020-01-12,14
Alabama,2020-01-13,3
Arkansas,2020-01-13,1
Arizona,2020-01-13,2
California,2020-01-13,8
Colorado,2020-01-13,2
Connecticut,2020-01-13,1
District of Columbia,2020-01-13,1
Florida,2020-01-13,2
Georgia,2020-01-13,6
Iowa,2020-01-13,1
Illinois,2020-01-13,1
Indiana,2020-01-13,1
Kentucky,2020-01-13,1
Massachusetts,2020-01-13,2
Maine,2020-01-13,1
Michigan,2020-01-13,5
Missouri,2020-01-13,1
North Carolina,2020-01-13,2
Nebraska,2020-01-13,1
New Jersey,2020-01-13,9
Nevada,2020-01-13,4
New York,2020-01-13,9
Ohio,2020-01-13,8
Oklahoma,2020-01-13,17
Pennsylvania,2020-01-13,2
South Carolina,2020-01-13,1
Tennessee,2020-01-13,3
Texas,2020-01-13,14
Utah,2020-01-13,1
Washington,2020-01-13,1
Alabama,2020-01-14,1
California,2020-01-14,11
Colorado,2020-01-14,2
Florida,2020-01-14,3
Georgia,2020-01-14,3
Iowa,2020-01-14,1
Indiana,2020-01-14,1
Massachusetts,2020-01-14,3
Michigan,2020-01-14,2
Montana,2020-01-14,1
Nebraska,2020-01-14,2
New Jersey,2020-01-14,11
New Mexico,2020-01-14,1
Nevada,2020-01-14,4
New York,2020-01-14,2
Ohio,2020-01-14,5
Oklahoma,2020-01-14,12
Pennsylvania,2020-01-14,1
Tennessee,2020-01-14,2
Texas,2020-01-14,11
Washington,2020-01-14,2
Wisconsin,2020-01-14,1
Alabama,2020-01-15,5
Arizona,2020-01-15,5
California,2020-01-15,10
Colorado,2020-01-15,1
Florida,2020-01-15,12
Georgia,2020-01-15,2
Kentucky,2020-01-15,7
Louisiana,2020-01-15,1
Massachusetts,2020-01-15,2
Maine,2020-01-15,1
Michigan,2020-01-15,8
Missouri,2020-01-15,4
North Carolina,2020-01-15,2
New Jersey,2020-01-15,13
New Mexico,2020-01-15,2
New York,2020-01-15,8
Ohio,2020-01-15,14
Oklahoma,2020-01-15,4
Pennsylvania,2020-01-15,1
South Carolina,2020-01-15,3
Texas,2020-01-15,20
Utah,2020-01-15,1
Washington,2020-01-15,1
Wisconsin,2020-01-15,2
Alabama,2020-01-16,4
Arizona,2020-01-16,1
California,2020-01-16,7
Colorado,2020-01-16,1
Florida,2020-01-16,2
Georgia,2020-01-16,4
Iowa,2020-01-16,2
Maryland,2020-01-16,1
Missouri,2020-01-16,4
New Jersey,2020-01-16,11
New Mexico,2020-01-16,1
Nevada,2020-01-16,1
New York,2020-01-16,4
Ohio,2020-01-16,5
Oklahoma,2020-01-16,16
Pennsylvania,2020-01-16,1
South Carolina,2020-01-16,1
Tennessee,2020-01-16,2
Texas,2020-01-16,16
Washington,2020-01-16,1
Alabama,2020-01-17,5
Arizona,2020-01-17,2
California,2020-01-17,4
Colorado,2020-01-17,3
Florida,2020-01-17,4
Georgia,2020-01-17,4
Iowa,2020-01-17,2
Idaho,2020-01-17,1
Indiana,2020-01-17,1
Massachusetts,2020-01-17,1
Maine,2020-01-17,1
Michigan,2020-01-17,3
Missouri,2020-01-17,1
North Carolina,2020-01-17,2
New Jersey,2020-01-17,16
New Mexico,2020-01-17,1
Nevada,2020-01-17,2
New York,2020-01-17,6
Ohio,2020-01-17,1
Oklahoma,2020-01-17,14
Pennsylvania,2020-01-17,1
South Carolina,2020-01-17,6
Tennessee,2020-01-17,1
Texas,2020-01-17,20
Utah,2020-01-17,1
Virginia,2020-01-17,1
Washington,2020-01-17,3
Wisconsin,2020-01-17,1
Alabama,2020-01-18,5
Arkansas,2020-01-18,1
California,2020-01-18,8
Colorado,2020-01-18,1
Florida,2020-01-18,1
Georgia,2020-01-18,4
Iowa,2020-01-18,6
Kansas,2020-01-18,1
Maryland,2020-01-18,1
Michigan,2020-01-18,4
Missouri,2020-01-18,1
North Carolina,2020-01-18,1
New Jersey,2020-01-18,17
Nevada,2020-01-18,3
New York,2020-01-18,6
Ohio,2020-01-18,6
Oklahoma,2020-01-18,15
Pennsylvania,2020-01-18,1
South Carolina,2020-01-18,4
South Dakota,2020-01-18,3
Tennessee,2020-01-18,3
Texas,2020-01-18,15
Washington,2020-01-18,1
Alabama,2020-01-19,4
Arkansas,2020-01-19,1
Arizona,2020-01-19,3
California,2020-01-19,13
Florida,2020-01-19,3
Georgia,2020-01-19,4
Iowa,2020-01-19,1
Kentucky,2020-01-19,2
Massachusetts,2020-01-19,1
Maryland,2020-01-19,1
Maine,2020-01-19,1
Michigan,2020-01-19,1
Missouri,2020-01-19,2
Montana,2020-01-19,1
North Carolina,2020-01-19,2
New Jersey,2020-01-19,11
