"regionname,""date"",""cases"""
Montana,2021-03-08,140
North Carolina,2021-03-08,2011
North Dakota,2021-03-08,94
Nebraska,2021-03-08,618
New Hampshire,2021-03-08,174
New Jersey,2021-03-08,4189
New Mexico,2021-03-08,184
Nevada,2021-03-08,295
New York,2021-03-08,7754
Ohio,2021-03-08,1325
Oklahoma,2021-03-08,428
Oregon,2021-03-08,349
Pennsylvania,2021-03-08,2987
PR,2021-03-08,28
Rhode Island,2021-03-08,106
South Carolina,2021-03-08,926
South Dakota,2021-03-08,113
Tennessee,2021-03-08,1339
Texas,2021-03-08,1183
Utah,2021-03-08,660
Virginia,2021-03-08,1498
Vermont,2021-03-08,115
Washington,2021-03-08,794
Wisconsin,2021-03-08,1151
West Virginia,2021-03-08,1
Wyoming,2021-03-08,78
Alaska,2021-03-09,188
Alabama,2021-03-09,655
Arkansas,2021-03-09,288
Arizona,2021-03-09,812
California,2021-03-09,3067
Colorado,2021-03-09,1217
Connecticut,2021-03-09,23
District of Columbia,2021-03-09,85
Delaware,2021-03-09,205
Florida,2021-03-09,18354
Georgia,2021-03-09,1546
Guam,2021-03-09,2
Hawaii,2021-03-09,127
Iowa,2021-03-09,454
Idaho,2021-03-09,351
Illinois,2021-03-09,1866
Indiana,2021-03-09,828
Kansas,2021-03-09,254
Kentucky,2021-03-09,560
Louisiana,2021-03-09,587
Massachusetts,2021-03-09,1757
Maryland,2021-03-09,1597
Maine,2021-03-09,188
Michigan,2021-03-09,1565
Minnesota,2021-03-09,1098
Missouri,2021-03-09,619
Mississippi,2021-03-09,2
Montana,2021-03-09,149
North Carolina,2021-03-09,1602
North Dakota,2021-03-09,86
Nebraska,2021-03-09,704
New Hampshire,2021-03-09,564
New Jersey,2021-03-09,4104
New Mexico,2021-03-09,219
Nevada,2021-03-09,284
New York,2021-03-09,7071
Ohio,2021-03-09,1251
Oklahoma,2021-03-09,426
Oregon,2021-03-09,306
Pennsylvania,2021-03-09,2824
PR,2021-03-09,17
Rhode Island,2021-03-09,34
South Carolina,2021-03-09,814
South Dakota,2021-03-09,101
Tennessee,2021-03-09,1283
Texas,2021-03-09,927
Utah,2021-03-09,494
Virginia,2021-03-09,1385
Vermont,2021-03-09,97
Washington,2021-03-09,806
Wisconsin,2021-03-09,844
Wyoming,2021-03-09,54
Alaska,2021-03-10,142
Alabama,2021-03-10,649
Arkansas,2021-03-10,294
Arizona,2021-03-10,739
California,2021-03-10,3006
Colorado,2021-03-10,1051
Connecticut,2021-03-10,33
District of Columbia,2021-03-10,105
Delaware,2021-03-10,785
Florida,2021-03-10,13196
Georgia,2021-03-10,1508
Hawaii,2021-03-10,13
Iowa,2021-03-10,345
Idaho,2021-03-10,345
Illinois,2021-03-10,1742
Indiana,2021-03-10,883
Kansas,2021-03-10,245
Kentucky,2021-03-10,582
Louisiana,2021-03-10,545
Massachusetts,2021-03-10,1712
Maryland,2021-03-10,1468
Maine,2021-03-10,188
Michigan,2021-03-10,1840
Minnesota,2021-03-10,1187
Missouri,2021-03-10,631
Mississippi,2021-03-10,5
Montana,2021-03-10,151
North Carolina,2021-03-10,1696
North Dakota,2021-03-10,120
Nebraska,2021-03-10,823
New Hampshire,2021-03-10,224
New Jersey,2021-03-10,4230
New Mexico,2021-03-10,258
Nevada,2021-03-10,317
New York,2021-03-10,7667
Ohio,2021-03-10,1309
Oklahoma,2021-03-10,367
Oregon,2021-03-10,282
Pennsylvania,2021-03-10,2793
PR,2021-03-10,20
Rhode Island,2021-03-10,38
South Carolina,2021-03-10,695
South Dakota,2021-03-10,84
Tennessee,2021-03-10,1341
Texas,2021-03-10,1005
Utah,2021-03-10,526
Virginia,2021-03-10,1476
Vermont,2021-03-10,111
Washington,2021-03-10,759
Wisconsin,2021-03-10,1132
West Virginia,2021-03-10,1
Wyoming,2021-03-10,59
Alaska,2021-03-11,130
Alabama,2021-03-11,510
Arkansas,2021-03-11,250
Arizona,2021-03-11,682
California,2021-03-11,2826
Colorado,2021-03-11,1147
Connecticut,2021-03-11,106
District of Columbia,2021-03-11,140
Delaware,2021-03-11,231
Florida,2021-03-11,6096
Georgia,2021-03-11,1476
Guam,2021-03-11,3
Hawaii,2021-03-11,9
Iowa,2021-03-11,325
Idaho,2021-03-11,336
Illinois,2021-03-11,1534
Indiana,2021-03-11,840
Kansas,2021-03-11,233
Kentucky,2021-03-11,569
Louisiana,2021-03-11,460
Massachusetts,2021-03-11,1760
Maryland,2021-03-11,1343
Maine,2021-03-11,206
Michigan,2021-03-11,1616
Minnesota,2021-03-11,1033
Missouri,2021-03-11,620
Montana,2021-03-11,120
North Carolina,2021-03-11,1623
North Dakota,2021-03-11,93
Nebraska,2021-03-11,802
New Hampshire,2021-03-11,135
New Jersey,2021-03-11,3921
New Mexico,2021-03-11,167
Nevada,2021-03-11,273
New York,2021-03-11,7163
Ohio,2021-03-11,1099
Oklahoma,2021-03-11,373
Oregon,2021-03-11,238
Pennsylvania,2021-03-11,2833
PR,2021-03-11,22
Rhode Island,2021-03-11,105
South Carolina,2021-03-11,939
South Dakota,2021-03-11,79
Tennessee,2021-03-11,1303
Texas,2021-03-11,887
Utah,2021-03-11,455
Virginia,2021-03-11,1377
Vermont,2021-03-11,115
Washington,2021-03-11,737
Wisconsin,2021-03-11,681
West Virginia,2021-03-11,1
Wyoming,2021-03-11,65
Alaska,2021-03-12,125
Alabama,2021-03-12,550
Arkansas,2021-03-12,216
Arizona,2021-03-12,632
California,2021-03-12,2744
Colorado,2021-03-12,1055
Connecticut,2021-03-12,30
District of Columbia,2021-03-12,134
Delaware,2021-03-12,243
Florida,2021-03-12,3357
Georgia,2021-03-12,1238
Guam,2021-03-12,1
Hawaii,2021-03-12,12
Iowa,2021-03-12,249
Idaho,2021-03-12,285
Illinois,2021-03-12,1720
Indiana,2021-03-12,773
Kansas,2021-03-12,231
Kentucky,2021-03-12,545
Louisiana,2021-03-12,450
Massachusetts,2021-03-12,1690
Maryland,2021-03-12,1480
Maine,2021-03-12,198
Michigan,2021-03-12,1814
Minnesota,2021-03-12,1053
Missouri,2021-03-12,581
Mississippi,2021-03-12,6
Montana,2021-03-12,103
North Carolina,2021-03-12,1616
North Dakota,2021-03-12,106
Nebraska,2021-03-12,996
New Hampshire,2021-03-12,223
New Jersey,2021-03-12,3817
New Mexico,2021-03-12,211
Nevada,2021-03-12,266
New York,2021-03-12,7218
Ohio,2021-03-12,1089
Oklahoma,2021-03-12,349
Oregon,2021-03-12,268
Pennsylvania,2021-03-12,2689
PR,2021-03-12,16
Rhode Island,2021-03-12,138
South Carolina,2021-03-12,1169
South Dakota,2021-03-12,106
Tennessee,2021-03-12,1280
Texas,2021-03-12,906
Utah,2021-03-12,468
Virginia,2021-03-12,1381
Vermont,2021-03-12,88
Washington,2021-03-12,698
Wisconsin,2021-03-12,843
West Virginia,2021-03-12,2
Wyoming,2021-03-12,58
Alaska,2021-03-13,103
Alabama,2021-03-13,396
Arkansas,2021-03-13,177
Arizona,2021-03-13,577
California,2021-03-13,2060
Colorado,2021-03-13,1144
Connecticut,2021-03-13,23
District of Columbia,2021-03-13,83
Delaware,2021-03-13,212
Florida,2021-03-13,2782
Georgia,2021-03-13,1074
Hawaii,2021-03-13,23
Iowa,2021-03-13,252
Idaho,2021-03-13,253
Illinois,2021-03-13,1921
Indiana,2021-03-13,361
Kansas,2021-03-13,188
Kentucky,2021-03-13,388
Louisiana,2021-03-13,381
Massachusetts,2021-03-13,1299
Maryland,2021-03-13,820
Maine,2021-03-13,199
Michigan,2021-03-13,1526
Minnesota,2021-03-13,907
Missouri,2021-03-13,439
Mississippi,2021-03-13,3
Montana,2021-03-13,102
North Carolina,2021-03-13,1297
North Dakota,2021-03-13,93
Nebraska,2021-03-13,787
New Hampshire,2021-03-13,153
New Jersey,2021-03-13,3459
New Mexico,2021-03-13,168
Nevada,2021-03-13,228
New York,2021-03-13,5794
Ohio,2021-03-13,940
Oklahoma,2021-03-13,279
Oregon,2021-03-13,299
Pennsylvania,2021-03-13,2095
PR,2021-03-13,6
Rhode Island,2021-03-13,9
South Carolina,2021-03-13,2224
South Dakota,2021-03-13,91
Tennessee,2021-03-13,864
Texas,2021-03-13,741
Utah,2021-03-13,346
Virginia,2021-03-13,1267
Vermont,2021-03-13,86
Washington,2021-03-13,622
Wisconsin,2021-03-13,456
Wyoming,2021-03-13,50
Alaska,2021-03-14,66
Alabama,2021-03-14,2330
Arkansas,2021-03-14,149
Arizona,2021-03-14,425
California,2021-03-14,1790
Colorado,2021-03-14,620
Connecticut,2021-03-14,23
District of Columbia,2021-03-14,107
Delaware,2021-03-14,223
Florida,2021-03-14,2664
Georgia,2021-03-14,723
Guam,2021-03-14,3
Hawaii,2021-03-14,20
Iowa,2021-03-14,178
Idaho,2021-03-14,235
Illinois,2021-03-14,1978
Indiana,2021-03-14,473
Kansas,2021-03-14,156
Kentucky,2021-03-14,363
Louisiana,2021-03-14,377
Massachusetts,2021-03-14,1046
Maryland,2021-03-14,925
Maine,2021-03-14,179
Michigan,2021-03-14,1484
Minnesota,2021-03-14,945
Missouri,2021-03-14,398
Montana,2021-03-14,168
North Carolina,2021-03-14,1224
North Dakota,2021-03-14,97
Nebraska,2021-03-14,826
New Hampshire,2021-03-14,177
New Jersey,2021-03-14,3339
New Mexico,2021-03-14,139
Nevada,2021-03-14,189
New York,2021-03-14,5696
Ohio,2021-03-14,1006
Oklahoma,2021-03-14,248
Oregon,2021-03-14,300
Pennsylvania,2021-03-14,2018
PR,2021-03-14,5
Rhode Island,2021-03-14,8
South Carolina,2021-03-14,575
South Dakota,2021-03-14,113
Tennessee,2021-03-14,915
Texas,2021-03-14,776
Utah,2021-03-14,338
Virginia,2021-03-14,1258
Vermont,2021-03-14,87
Washington,2021-03-14,517
Wisconsin,2021-03-14,443
Wyoming,2021-03-14,44
Alaska,2021-03-15,213
Alabama,2021-03-15,435
Arkansas,2021-03-15,287
Arizona,2021-03-15,607
California,2021-03-15,3124
Colorado,2021-03-15,742
Connecticut,2021-03-15,31
District of Columbia,2021-03-15,94
Delaware,2021-03-15,134
Florida,2021-03-15,3982
Georgia,2021-03-15,1127
Guam,2021-03-15,1
Hawaii,2021-03-15,24
Iowa,2021-03-15,309
Idaho,2021-03-15,426
Illinois,2021-03-15,2555
Indiana,2021-03-15,1136
Kansas,2021-03-15,246
Kentucky,2021-03-15,619
Louisiana,2021-03-15,608
Massachusetts,2021-03-15,2177
Maryland,2021-03-15,1790
Maine,2021-03-15,232
Michigan,2021-03-15,2623
Minnesota,2021-03-15,1464
Missouri,2021-03-15,680
Mississippi,2021-03-15,3
Montana,2021-03-15,386
North Carolina,2021-03-15,2057
North Dakota,2021-03-15,114
Nebraska,2021-03-15,765
New Hampshire,2021-03-15,202
New Jersey,2021-03-15,4310
New Mexico,2021-03-15,235
Nevada,2021-03-15,270
New York,2021-03-15,8220
Ohio,2021-03-15,1461
Oklahoma,2021-03-15,308
Oregon,2021-03-15,326
Pennsylvania,2021-03-15,3620
PR,2021-03-15,20
Rhode Island,2021-03-15,938
South Carolina,2021-03-15,1205
South Dakota,2021-03-15,127
Tennessee,2021-03-15,1431
Texas,2021-03-15,970
Utah,2021-03-15,603
Virginia,2021-03-15,1437
Vermont,2021-03-15,134
Washington,2021-03-15,958
Wisconsin,2021-03-15,781
West Virginia,2021-03-15,1
Wyoming,2021-03-15,101
Alaska,2021-03-16,148
Alabama,2021-03-16,517
Arkansas,2021-03-16,220
Arizona,2021-03-16,631
California,2021-03-16,2720
Colorado,2021-03-16,875
Connecticut,2021-03-16,37
District of Columbia,2021-03-16,13
Delaware,2021-03-16,432
Florida,2021-03-16,28873
Georgia,2021-03-16,109
Guam,2021-03-16,1
Hawaii,2021-03-16,16
Iowa,2021-03-16,361
Idaho,2021-03-16,382
Illinois,2021-03-16,2360
Indiana,2021-03-16,909
Kansas,2021-03-16,236
Kentucky,2021-03-16,589
Louisiana,2021-03-16,432
Massachusetts,2021-03-16,2031
Maryland,2021-03-16,1691
Maine,2021-03-16,248
Michigan,2021-03-16,2762
Minnesota,2021-03-16,1378
Missouri,2021-03-16,577
Mississippi,2021-03-16,3
Montana,2021-03-16,129
North Carolina,2021-03-16,1758
North Dakota,2021-03-16,98
Nebraska,2021-03-16,944
New Hampshire,2021-03-16,603
New Jersey,2021-03-16,4378
New Mexico,2021-03-16,214
Nevada,2021-03-16,226
New York,2021-03-16,7385
Ohio,2021-03-16,3683
Oklahoma,2021-03-16,310
Oregon,2021-03-16,311
Pennsylvania,2021-03-16,3417
PR,2021-03-16,20
Rhode Island,2021-03-16,189
South Carolina,2021-03-16,1045
South Dakota,2021-03-16,121
Tennessee,2021-03-16,1306
Texas,2021-03-16,850
Utah,2021-03-16,452
Virginia,2021-03-16,1428
Vermont,2021-03-16,134
Washington,2021-03-16,806
Wisconsin,2021-03-16,774
Wyoming,2021-03-16,81
Alaska,2021-03-17,143
Alabama,2021-03-17,323
Arkansas,2021-03-17,195
Arizona,2021-03-17,671
California,2021-03-17,2850
Colorado,2021-03-17,1097
Connecticut,2021-03-17,30
District of Columbia,2021-03-17,10
Delaware,2021-03-17,300
Florida,2021-03-17,33350
Georgia,2021-03-17,83
Guam,2021-03-17,3
Hawaii,2021-03-17,177
Iowa,2021-03-17,282
Idaho,2021-03-17,340
Illinois,2021-03-17,2250
Indiana,2021-03-17,861
Kansas,2021-03-17,195
Kentucky,2021-03-17,543
Louisiana,2021-03-17,451
Massachusetts,2021-03-17,2064
Maryland,2021-03-17,1720
Maine,2021-03-17,248
Michigan,2021-03-17,2466
Minnesota,2021-03-17,1328
Missouri,2021-03-17,532
Mississippi,2021-03-17,3
Montana,2021-03-17,128
North Carolina,2021-03-17,1846
North Dakota,2021-03-17,96
Nebraska,2021-03-17,928
New Hampshire,2021-03-17,189
New Jersey,2021-03-17,4553
New Mexico,2021-03-17,258
Nevada,2021-03-17,244
New York,2021-03-17,7782
Ohio,2021-03-17,1310
Oklahoma,2021-03-17,310
Oregon,2021-03-17,308
Pennsylvania,2021-03-17,3569
PR,2021-03-17,18
Rhode Island,2021-03-17,997
South Carolina,2021-03-17,1234
South Dakota,2021-03-17,116
Tennessee,2021-03-17,1274
Texas,2021-03-17,850
Utah,2021-03-17,455
Virginia,2021-03-17,1770
Vermont,2021-03-17,137
Washington,2021-03-17,815
Wisconsin,2021-03-17,758
Wyoming,2021-03-17,66
Alaska,2021-03-18,137
Alabama,2021-03-18,275
Arkansas,2021-03-18,166
Arizona,2021-03-18,647
California,2021-03-18,2422
Colorado,2021-03-18,1330
Connecticut,2021-03-18,40
District of Columbia,2021-03-18,247
Delaware,2021-03-18,202
Florida,2021-03-18,29424
Georgia,2021-03-18,1652
Hawaii,2021-03-18,15
Iowa,2021-03-18,367
Idaho,2021-03-18,318
Illinois,2021-03-18,1903
Indiana,2021-03-18,869
Kansas,2021-03-18,174
Kentucky,2021-03-18,497
Louisiana,2021-03-18,395
Massachusetts,2021-03-18,2099
Maryland,2021-03-18,1737
Maine,2021-03-18,221
Michigan,2021-03-18,2401
Minnesota,2021-03-18,1309
Missouri,2021-03-18,510
Mississippi,2021-03-18,7
Montana,2021-03-18,122
North Carolina,2021-03-18,1517
North Dakota,2021-03-18,123
Nebraska,2021-03-18,1021
New Hampshire,2021-03-18,149
New Jersey,2021-03-18,4154
New Mexico,2021-03-18,186
Nevada,2021-03-18,240
New York,2021-03-18,7092
Ohio,2021-03-18,1211
Oklahoma,2021-03-18,282
Oregon,2021-03-18,268
Pennsylvania,2021-03-18,3393
PR,2021-03-18,23
Rhode Island,2021-03-18,190
South Carolina,2021-03-18,708
South Dakota,2021-03-18,105
Tennessee,2021-03-18,1306
Texas,2021-03-18,798
Utah,2021-03-18,434
Virginia,2021-03-18,1468
Vermont,2021-03-18,158
Washington,2021-03-18,849
Wisconsin,2021-03-18,644
West Virginia,2021-03-18,1
Wyoming,2021-03-18,56
Alaska,2021-03-19,137
Alabama,2021-03-19,287
Arkansas,2021-03-19,179
Arizona,2021-03-19,566
California,2021-03-19,2367
Colorado,2021-03-19,1101
Connecticut,2021-03-19,36
District of Columbia,2021-03-19,128
Delaware,2021-03-19,312
Florida,2021-03-19,19235
Georgia,2021-03-19,1245
Guam,2021-03-19,3
Hawaii,2021-03-19,19
Iowa,2021-03-19,328
Idaho,2021-03-19,288
Illinois,2021-03-19,2114
Indiana,2021-03-19,846
Kansas,2021-03-19,220
Kentucky,2021-03-19,462
Louisiana,2021-03-19,434
Massachusetts,2021-03-19,1967
Maryland,2021-03-19,1515
Maine,2021-03-19,233
Michigan,2021-03-19,2318
Minnesota,2021-03-19,1327
Missouri,2021-03-19,476
Mississippi,2021-03-19,4
Montana,2021-03-19,151
North Carolina,2021-03-19,1631
North Dakota,2021-03-19,91
Nebraska,2021-03-19,1011
New Hampshire,2021-03-19,195
New Jersey,2021-03-19,4464
New Mexico,2021-03-19,203
Nevada,2021-03-19,247
New York,2021-03-19,7102
Ohio,2021-03-19,1148
Oklahoma,2021-03-19,285
Oregon,2021-03-19,309
Pennsylvania,2021-03-19,3384
PR,2021-03-19,22
Rhode Island,2021-03-19,201
South Carolina,2021-03-19,855
South Dakota,2021-03-19,118
Tennessee,2021-03-19,1125
Texas,2021-03-19,800
Utah,2021-03-19,386
Virginia,2021-03-19,1341
Vermont,2021-03-19,163
Washington,2021-03-19,810
Wisconsin,2021-03-19,665
Wyoming,2021-03-19,64
Alaska,2021-03-20,107
Alabama,2021-03-20,213
Arkansas,2021-03-20,118
Arizona,2021-03-20,586
California,2021-03-20,1871
Colorado,2021-03-20,868
Connecticut,2021-03-20,26
District of Columbia,2021-03-20,119
Delaware,2021-03-20,337
Florida,2021-03-20,25705
Georgia,2021-03-20,1272
Hawaii,2021-03-20,15
Iowa,2021-03-20,274
Idaho,2021-03-20,217
Illinois,2021-03-20,2510
Indiana,2021-03-20,553
Kansas,2021-03-20,165
Kentucky,2021-03-20,386
Louisiana,2021-03-20,311
Massachusetts,2021-03-20,1473
Maryland,2021-03-20,1030
Maine,2021-03-20,168
Michigan,2021-03-20,2213
Minnesota,2021-03-20,1199
Missouri,2021-03-20,421
Mississippi,2021-03-20,1
Montana,2021-03-20,126
North Carolina,2021-03-20,1286
North Dakota,2021-03-20,119
Nebraska,2021-03-20,1037
New Hampshire,2021-03-20,164
New Jersey,2021-03-20,3634
New Mexico,2021-03-20,216
Nevada,2021-03-20,238
New York,2021-03-20,6154
Ohio,2021-03-20,1091
Oklahoma,2021-03-20,244
Oregon,2021-03-20,339
Pennsylvania,2021-03-20,2713
PR,2021-03-20,17
Rhode Island,2021-03-20,11
South Carolina,2021-03-20,731
South Dakota,2021-03-20,110
Tennessee,2021-03-20,915
Texas,2021-03-20,775
Utah,2021-03-20,319
Virginia,2021-03-20,1237
Vermont,2021-03-20,141
Washington,2021-03-20,759
Wisconsin,2021-03-20,511
Wyoming,2021-03-20,45
Alaska,2021-03-21,88
Alabama,2021-03-21,164
Arkansas,2021-03-21,113
Arizona,2021-03-21,454
California,2021-03-21,1742
Colorado,2021-03-21,707
Connecticut,2021-03-21,25
District of Columbia,2021-03-21,90
Delaware,2021-03-21,130
Florida,2021-03-21,14587
Georgia,2021-03-21,116
Guam,2021-03-21,1
Hawaii,2021-03-21,24
Iowa,2021-03-21,207
Idaho,2021-03-21,236
Illinois,2021-03-21,2692
Indiana,2021-03-21,494
Kansas,2021-03-21,179
Kentucky,2021-03-21,388
Louisiana,2021-03-21,303
Massachusetts,2021-03-21,1360
Maryland,2021-03-21,1138
Maine,2021-03-21,189
Michigan,2021-03-21,2120
Minnesota,2021-03-21,1279
Missouri,2021-03-21,411
Mississippi,2021-03-21,2
Montana,2021-03-21,150
North Carolina,2021-03-21,1204
North Dakota,2021-03-21,123
Nebraska,2021-03-21,935
New Hampshire,2021-03-21,140
New Jersey,2021-03-21,3594
New Mexico,2021-03-21,208
Nevada,2021-03-21,207
New York,2021-03-21,5925
Ohio,2021-03-21,1089
Oklahoma,2021-03-21,221
Oregon,2021-03-21,303
Pennsylvania,2021-03-21,2629
PR,2021-03-21,12
Rhode Island,2021-03-21,5
South Carolina,2021-03-21,652
South Dakota,2021-03-21,116
Tennessee,2021-03-21,838
Texas,2021-03-21,806
Utah,2021-03-21,302
Virginia,2021-03-21,1257
Vermont,2021-03-21,128
Washington,2021-03-21,675
Wisconsin,2021-03-21,481
Wyoming,2021-03-21,43
Alaska,2021-03-22,239
Alabama,2021-03-22,177
Arkansas,2021-03-22,186
Arizona,2021-03-22,583
California,2021-03-22,2963
Colorado,2021-03-22,1344
Connecticut,2021-03-22,41
District of Columbia,2021-03-22,95
Delaware,2021-03-22,172
Florida,2021-03-22,10052
Georgia,2021-03-22,844
Hawaii,2021-03-22,24
Iowa,2021-03-22,377
Idaho,2021-03-22,366
Illinois,2021-03-22,2951
Indiana,2021-03-22,1200
Kansas,2021-03-22,267
Kentucky,2021-03-22,605
Louisiana,2021-03-22,540
Massachusetts,2021-03-22,2591
Maryland,2021-03-22,1864
Maine,2021-03-22,237
Michigan,2021-03-22,3544
Minnesota,2021-03-22,1757
Missouri,2021-03-22,642
Mississippi,2021-03-22,4
Montana,2021-03-22,234
North Carolina,2021-03-22,2161
North Dakota,2021-03-22,156
Nebraska,2021-03-22,962
New Hampshire,2021-03-22,224
New Jersey,2021-03-22,5609
New Mexico,2021-03-22,234
Nevada,2021-03-22,267
New York,2021-03-22,9108
Ohio,2021-03-22,3906
Oklahoma,2021-03-22,293
Oregon,2021-03-22,392
Pennsylvania,2021-03-22,4601
PR,2021-03-22,21
Rhode Island,2021-03-22,1426
South Carolina,2021-03-22,1950
South Dakota,2021-03-22,148
Tennessee,2021-03-22,1415
Texas,2021-03-22,1028
Utah,2021-03-22,561
Virginia,2021-03-22,1539
Vermont,2021-03-22,191
Washington,2021-03-22,1169
Wisconsin,2021-03-22,1028
Wyoming,2021-03-22,87
Alaska,2021-03-23,150
Alabama,2021-03-23,357
Arkansas,2021-03-23,160
Arizona,2021-03-23,708
California,2021-03-23,2762
Colorado,2021-03-23,1223
Connecticut,2021-03-23,22
District of Columbia,2021-03-23,102
Delaware,2021-03-23,207
Florida,2021-03-23,15047
Georgia,2021-03-23,1344
Guam,2021-03-23,2
Hawaii,2021-03-23,206
Iowa,2021-03-23,438
Idaho,2021-03-23,296
Illinois,2021-03-23,2976
Indiana,2021-03-23,1059
Kansas,2021-03-23,238
Kentucky,2021-03-23,556
Louisiana,2021-03-23,407
Massachusetts,2021-03-23,2377
Maryland,2021-03-23,1866
Maine,2021-03-23,261
Michigan,2021-03-23,3563
Minnesota,2021-03-23,1771
Missouri,2021-03-23,625
Mississippi,2021-03-23,4
Montana,2021-03-23,161
North Carolina,2021-03-23,1960
North Dakota,2021-03-23,158
Nebraska,2021-03-23,1040
New Hampshire,2021-03-23,583
New Jersey,2021-03-23,4968
New Mexico,2021-03-23,184
Nevada,2021-03-23,257
New York,2021-03-23,8694
Ohio,2021-03-23,1627
Oklahoma,2021-03-23,280
Oregon,2021-03-23,355
Pennsylvania,2021-03-23,4473
PR,2021-03-23,38
Rhode Island,2021-03-23,112
South Carolina,2021-03-23,1611
South Dakota,2021-03-23,125
Tennessee,2021-03-23,1279
Texas,2021-03-23,950
Utah,2021-03-23,421
Virginia,2021-03-23,1588
Vermont,2021-03-23,156
Washington,2021-03-23,1128
Wisconsin,2021-03-23,858
Wyoming,2021-03-23,76
Alaska,2021-03-24,168
Alabama,2021-03-24,251
Arkansas,2021-03-24,172
Arizona,2021-03-24,675
California,2021-03-24,2906
Colorado,2021-03-24,1398
Connecticut,2021-03-24,27
District of Columbia,2021-03-24,106
Delaware,2021-03-24,222
Florida,2021-03-24,6687
Georgia,2021-03-24,1040
Guam,2021-03-24,3
Hawaii,2021-03-24,25
Iowa,2021-03-24,353
Idaho,2021-03-24,304
Illinois,2021-03-24,2722
Indiana,2021-03-24,1068
Kansas,2021-03-24,222
Kentucky,2021-03-24,467
Louisiana,2021-03-24,453
Massachusetts,2021-03-24,2505
Maryland,2021-03-24,1804
Maine,2021-03-24,270
Michigan,2021-03-24,3552
Minnesota,2021-03-24,1723
Missouri,2021-03-24,535
Mississippi,2021-03-24,1
Montana,2021-03-24,141
North Carolina,2021-03-24,1892
North Dakota,2021-03-24,178
Nebraska,2021-03-24,1008
New Hampshire,2021-03-24,211
New Jersey,2021-03-24,5026
New Mexico,2021-03-24,189
Nevada,2021-03-24,284
New York,2021-03-24,9078
Ohio,2021-03-24,1620
Oklahoma,2021-03-24,318
Oregon,2021-03-24,374
Pennsylvania,2021-03-24,4540
PR,2021-03-24,40
Rhode Island,2021-03-24,88
South Carolina,2021-03-24,906
South Dakota,2021-03-24,115
Tennessee,2021-03-24,1248
Texas,2021-03-24,963
Utah,2021-03-24,464
Virginia,2021-03-24,1688
Vermont,2021-03-24,184
Washington,2021-03-24,1127
Wisconsin,2021-03-24,960
Wyoming,2021-03-24,77
Alaska,2021-03-25,209
Alabama,2021-03-25,223
Arkansas,2021-03-25,151
Arizona,2021-03-25,660
California,2021-03-25,2494
Colorado,2021-03-25,1311
Connecticut,2021-03-25,4921
District of Columbia,2021-03-25,122
Delaware,2021-03-25,289
Florida,2021-03-25,13362
Georgia,2021-03-25,1670
Guam,2021-03-25,1
Hawaii,2021-03-25,26
Iowa,2021-03-25,503
Idaho,2021-03-25,289
Illinois,2021-03-25,2214
Indiana,2021-03-25,1011
Kansas,2021-03-25,222
Kentucky,2021-03-25,507
Louisiana,2021-03-25,398
Massachusetts,2021-03-25,2552
Maryland,2021-03-25,1853
Maine,2021-03-25,255
Michigan,2021-03-25,3468
Minnesota,2021-03-25,1623
Missouri,2021-03-25,554
Mississippi,2021-03-25,4
Montana,2021-03-25,124
North Carolina,2021-03-25,1816
North Dakota,2021-03-25,165
Nebraska,2021-03-25,944
New Hampshire,2021-03-25,158
New Jersey,2021-03-25,5021
New Mexico,2021-03-25,186
Nevada,2021-03-25,269
New York,2021-03-25,8191
Ohio,2021-03-25,1537
Oklahoma,2021-03-25,308
Oregon,2021-03-25,335
Pennsylvania,2021-03-25,4498
PR,2021-03-25,36
Rhode Island,2021-03-25,2787
South Carolina,2021-03-25,768
South Dakota,2021-03-25,85
Tennessee,2021-03-25,1180
Texas,2021-03-25,838
Utah,2021-03-25,383
Virginia,2021-03-25,1638
Vermont,2021-03-25,156
Washington,2021-03-25,1085
Wisconsin,2021-03-25,805
Wyoming,2021-03-25,54
Alaska,2021-03-26,201
Alabama,2021-03-26,282
Arkansas,2021-03-26,147
Arizona,2021-03-26,700
California,2021-03-26,2508
Colorado,2021-03-26,1167
Connecticut,2021-03-26,1
District of Columbia,2021-03-26,219
Delaware,2021-03-26,362
Florida,2021-03-26,5931
Georgia,2021-03-26,1451
Guam,2021-03-26,1
Hawaii,2021-03-26,17
Iowa,2021-03-26,350
Idaho,2021-03-26,285
Illinois,2021-03-26,2727
Indiana,2021-03-26,974
Kansas,2021-03-26,191
Kentucky,2021-03-26,470
Louisiana,2021-03-26,421
Massachusetts,2021-03-26,2294
Maryland,2021-03-26,1849
Maine,2021-03-26,239
Michigan,2021-03-26,3326
Minnesota,2021-03-26,1780
Missouri,2021-03-26,506
Mississippi,2021-03-26,5
Montana,2021-03-26,128
North Carolina,2021-03-26,1628
North Dakota,2021-03-26,150
Nebraska,2021-03-26,1022
New Hampshire,2021-03-26,182
New Jersey,2021-03-26,4603
New Mexico,2021-03-26,190
Nevada,2021-03-26,264
New York,2021-03-26,7707
Ohio,2021-03-26,1427
Oklahoma,2021-03-26,224
Oregon,2021-03-26,336
Pennsylvania,2021-03-26,4223
PR,2021-03-26,41
Rhode Island,2021-03-26,224
South Carolina,2021-03-26,1279
South Dakota,2021-03-26,95
Tennessee,2021-03-26,1088
